,user,tweet,stem,label,tokenizing
1144,Yongki Septa Dørkṩscreamoe,Tindak lanjuti secara UUD,tindak lanjut uud,0,"['tindak', 'lanjuti', 'secara', 'uud']"
1145,Dadan,Up,up,0,['up']
1146,Aziz Abdul Ngashim,Gw polusi,polusi,-1,"['gw', 'polusi']"
1147,Denz Rangga,"sok jago, ANJIM",sok jago anjim,-1,"['sok', 'jago', 'anjim']"
1148,Ari,Guwe pramuka,guwe pramuka,0,"['guwe', 'pramuka']"
1149,Nikolay Buyunk Petrenko,Satpamnya planga plongo doang ..,satpam planga plongo doang,0,"['satpamnya', 'planga', 'plongo', 'doang']"
1150,Fitra Syafitra,Sombong amat,sombong,-1,"['sombong', 'amat']"
1151,Yogi Haryanji,Astagfiraullah,astagfiraullah,0,['astagfiraullah']
1152,Fendi Pradana,Mentang2,mentang,0,['mentang']
1153,Iqbal Zulfikar,"""gua polisi""",gua polisi,-1,"['gua', 'polisi']"
1154,Aulia Lia Bebwhitec,"Kurang ajar,, sakit hari klo liat yg bgni beraninya sama perempuan,, semoga d hukum yg setimpal",ajar sakit klo liat bgni berani perempuan moga d hukum timpal,-1,"['kurang', 'ajar', 'sakit', 'hari', 'klo', 'liat', 'yg', 'bgni', 'beraninya', 'sama', 'perempuan', 'semoga', 'd', 'hukum', 'yg', 'setimpal']"
1155,Silvia Aprianti,Kayana takut kasur merobot,kayana takut kasur robot,-1,"['kayana', 'takut', 'kasur', 'merobot']"
1156,Maymay,Waktu lahiran ge gtu eh kmrn jln2 TK naik bis nyelendot Bae ibu2 bngung ya nempel Bae kaya pacaran mgkn ada yg heran atau risih,lahir ge gtu eh kmrn jln tk bis nyelendot bae bngung ya nempel bae kaya pacar mgkn heran risih,1,"['waktu', 'lahiran', 'ge', 'gtu', 'eh', 'kmrn', 'jln', 'tk', 'naik', 'bis', 'nyelendot', 'bae', 'ibu', 'bngung', 'ya', 'nempel', 'bae', 'kaya', 'pacaran', 'mgkn', 'ada', 'yg', 'heran', 'atau', 'risih']"
1157,Lasmana Sari Las,"Uing gs aya 6 kali mutr mh cn bosen,,",uing gs aya kali mutr mh cn bosen,0,"['uing', 'gs', 'aya', 'kali', 'mutr', 'mh', 'cn', 'bosen']"
1158,Fajar Tri Mira,Pernh lg hamil gede kena muntaber dan paksu blg mf yaa bersihin sndr g thn sy sama muntah dll(baiklah),pernh lg hamil gede kena muntaber paksu blg mf yaa bersihin sndr thn sy muntah dll baik,0,"['pernh', 'lg', 'hamil', 'gede', 'kena', 'muntaber', 'dan', 'paksu', 'blg', 'mf', 'yaa', 'bersihin', 'sndr', 'g', 'thn', 'sy', 'sama', 'muntah', 'dll', 'baiklah']"
1159,Fazriah Jamilah,Sayaaang teh Niya.. insyaa Allah ada bayaran yg mahal untukmu,sayaaang teh niya insyaa allah bayar mahal untuk,0,"['sayaaang', 'teh', 'niya', 'insyaa', 'allah', 'ada', 'bayaran', 'yg', 'mahal', 'untukmu']"
1160,Ummu Fathiya,duh...prnh merasakan diposisi ituh,duh prnh rasa posisi ituh,0,"['duh', 'prnh', 'merasakan', 'diposisi', 'ituh']"
1161,Istighfara DahLya Islammadina,"Kakk Nia ,, aku baca nya Nangiiiissssssss ..",kakk nia baca nangiiiissssssss,0,"['kakk', 'nia', 'aku', 'baca', 'nya', 'nangiiiissssssss']"
1162,Rita Meidasari,"Itulah wanita....ketika keadaan mengharuskan ia harus ""kuat"". Ngga ada yg namanya manja2, menye2, coz everything she must do it...!!! (Ehh bener ngga yaa englishnya).",wanita harus kuat nama manja menye coz everything she must do ehh bener yaa englishnya,0,"['itulah', 'wanita', 'ketika', 'keadaan', 'mengharuskan', 'ia', 'harus', 'kuat', 'ngga', 'ada', 'yg', 'namanya', 'manja', 'menye', 'coz', 'everything', 'she', 'must', 'do', 'it', 'ehh', 'bener', 'ngga', 'yaa', 'englishnya']"
1163,Pramesti Octria,Aaaaaaa sukaaaa bacanyaaaaa.....relate banget. Sampe lupa manja2 krn terbiasa hidup keras,aaaaaaa sukaaaa bacanyaaaaa relate banget sampe lupa manja krn biasa hidup keras,-1,"['aaaaaaa', 'sukaaaa', 'bacanyaaaaa', 'relate', 'banget', 'sampe', 'lupa', 'manja', 'krn', 'terbiasa', 'hidup', 'keras']"
1164,Ummu Hani,Ijin copas ya teh..,ijin copas ya teh,0,"['ijin', 'copas', 'ya', 'teh']"
1165,Tri Handayani,speechless.... panjenengan terbukti strong mak,speechless panjenengan bukti strong mak,0,"['speechless', 'panjenengan', 'terbukti', 'strong', 'mak']"
1166,Nur Meisa Lestari,"Masyaallah jadi mewek inihhmakasih teh buat tulisan nya, semangatttt buat aq sendiri",masyaallah mewek inihhmakasih teh tulis semangatttt aq,0,"['masyaallah', 'jadi', 'mewek', 'inihhmakasih', 'teh', 'buat', 'tulisan', 'nya', 'semangatttt', 'buat', 'aq', 'sendiri']"
1167,Hidayati,,nan,0,['nan']
1168,Imelda Ita,Teteh izin share ya,teteh izin share ya,0,"['teteh', 'izin', 'share', 'ya']"
1169,Alvi Mikhaeyla,Masyaallah teteh....,masyaallah teteh,0,"['masyaallah', 'teteh']"
1170,Alya Fujia Ningsih,Sehat selalu dear,sehat dear,1,"['sehat', 'selalu', 'dear']"
1171,Rierienz,,nan,0,['nan']
1172,Murni Sulistiyowati,Masyaallah status anti byk bener nya ijin share ya umm buat save nasehat tsb.. Barakallahufikkum,masyaallah status anti byk bener ijin share ya umm save nasehat tsb barakallahufikkum,0,"['masyaallah', 'status', 'anti', 'byk', 'bener', 'nya', 'ijin', 'share', 'ya', 'umm', 'buat', 'save', 'nasehat', 'tsb', 'barakallahufikkum']"
1173,Silvia Rani Niadjo,,nan,0,['nan']
1174,Yeni Kamil,,nan,0,['nan']
1175,Mullyanah,Uuch putri,uuch putri,0,"['uuch', 'putri']"
1176,Neng Lilah,Lahiran nya normal apa SC Ivi?,lahir normal sc ivi,0,"['lahiran', 'nya', 'normal', 'apa', 'sc', 'ivi']"
1177,Aprissa Tirta,Masyaallah pengen ngerasain juga,masyaallah ken ngerasain,0,"['masyaallah', 'pengen', 'ngerasain', 'juga']"
1178,Sri Puspita,Surga dibawah telapak kaki ibu,surga bawah telapak kaki,1,"['surga', 'dibawah', 'telapak', 'kaki', 'ibu']"
1179,Rival Seno Aji,Selamat semogaa semangat menjadi seorang ibu,selamat semogaa semangat,1,"['selamat', 'semogaa', 'semangat', 'menjadi', 'seorang', 'ibu']"
1180,Endah Yulianti,"aaa gemes banget si, adik kecilku ponakan kecilkuuu udah punya Dede utun",aaa gemes banget si adik kecil ponakan kecilkuuu udah dede utun,-1,"['aaa', 'gemes', 'banget', 'si', 'adik', 'kecilku', 'ponakan', 'kecilkuuu', 'udah', 'punya', 'dede', 'utun']"
1181,Airin Aprillia,"Ya allah mba saya lgi hamil 4 bulan minta sm dkter di kasih sperti di gmbar..pantesan kertas yg suka di dalam kotak ngga ada biasa nya kn ada,,saya udh Ngomsumsi udah 3 hari tpi memang ngga ada perubahan",ya allah mba lgi hamil sm dkter kasih sperti gmbar pantesan kertas suka kotak kn udh ngomsumsi udah tpi ubah,0,"['ya', 'allah', 'mba', 'saya', 'lgi', 'hamil', 'bulan', 'minta', 'sm', 'dkter', 'di', 'kasih', 'sperti', 'di', 'gmbar', 'pantesan', 'kertas', 'yg', 'suka', 'di', 'dalam', 'kotak', 'ngga', 'ada', 'biasa', 'nya', 'kn', 'ada', 'saya', 'udh', 'ngomsumsi', 'udah', 'hari', 'tpi', 'memang', 'ngga', 'ada', 'perubahan']"
1182,Mamay,Mnding priksa k bidan lngsung kalo hamil,mnding priksa k bidan lngsung kalo hamil,0,"['mnding', 'priksa', 'k', 'bidan', 'lngsung', 'kalo', 'hamil']"
1183,김앙가,"Waduhh ,",waduhh,0,['waduhh']
1184,Dody Lumban Tobing,,nan,0,['nan']
1185,Rumenta Manalu Manalu,Tuhan Yesus Ajaib dan luar biasa,tuhan yesus ajaib,1,"['tuhan', 'yesus', 'ajaib', 'dan', 'luar', 'biasa']"
1186,Novelina,Amin.mujijat itu nyata,amin mujijat nyata,0,"['amin', 'mujijat', 'itu', 'nyata']"
1187,Veranye Sembiring,"Baik Tuhan itu, sekiranya Tuhan terus melwat dan menyembuhkan ibuk turnip.",tuhan tuhan melwat sembuh ibuk turnip,0,"['baik', 'tuhan', 'itu', 'sekiranya', 'tuhan', 'terus', 'melwat', 'dan', 'menyembuhkan', 'ibuk', 'turnip']"
1188,Yaman Zega,Amen...Amen...terpujilah Tuhan Yesus yg memberi kehidupan dan kesembuhan bagi ibu turnip,amen amen puji tuhan yesus hidup sembuh turnip,0,"['amen', 'amen', 'terpujilah', 'tuhan', 'yesus', 'yg', 'memberi', 'kehidupan', 'dan', 'kesembuhan', 'bagi', 'ibu', 'turnip']"
1189,Korma Sihotang,Amin.. Tuhan Yesus ajaib,amin tuhan yesus ajaib,1,"['amin', 'tuhan', 'yesus', 'ajaib']"
1190,Ervan Silalahi,"Dasyat Tuhan kita,sungguh heran perbuatannya tidak bisa kita Selami,tetap semangat dan percaya firmanNya",dasyat tuhan sungguh heran buat selam semangat percaya firman,1,"['dasyat', 'tuhan', 'kita', 'sungguh', 'heran', 'perbuatannya', 'tidak', 'bisa', 'kita', 'selami', 'tetap', 'semangat', 'dan', 'percaya', 'firmannya']"
1191,Dewi Sianturi,Yesus ajaib Tuhanku ajaib....semakin dipulihkn Tuhan kesehatan ibu turnip,yesus ajaib tuhan ajaib dipulihkn tuhan sehat turnip,1,"['yesus', 'ajaib', 'tuhanku', 'ajaib', 'semakin', 'dipulihkn', 'tuhan', 'kesehatan', 'ibu', 'turnip']"
1192,Martha Sulung,Haleluya..SKI.,haleluya ski,0,"['haleluya', 'ski']"
1193,Navishyaa Lanmorcy Nagunmola,Indahnya  …….,indah,1,['indahnya']
1194,Navishyaa Lanmorcy Nagunmola,Haleluya sgala kemuliaan hanya bagi Nya amen  sehat slalu nntulang,haleluya sgala mulia amen sehat slalu nntulang,1,"['haleluya', 'sgala', 'kemuliaan', 'hanya', 'bagi', 'nya', 'amen', 'sehat', 'slalu', 'nntulang']"
1195,Merry Lumbangaol,Tuhan Yesus memberkati,tuhan yesus kati,0,"['tuhan', 'yesus', 'memberkati']"
1196,Sholihatun Riyanah Arisalinu,Daerah mana,daerah,0,"['daerah', 'mana']"
1197,Yana,lokasi mna mbk,lokasi mna mbk,0,"['lokasi', 'mna', 'mbk']"
1198,Ade Rani,maaf mba lokasi dmn,maaf mba lokasi dmn,1,"['maaf', 'mba', 'lokasi', 'dmn']"
1199,Vivian Lopez,Kranggan Jatisampurna Bekasi,kranggan jatisampurna bekas,-1,"['kranggan', 'jatisampurna', 'bekasi']"
1200,Fajri Putri,Bisa PP gx,pp gx,0,"['bisa', 'pp', 'gx']"
1201,Lisa Bovin,Lokasi mana,lokasi,0,"['lokasi', 'mana']"
1202,Harrold Dietrich,DICARI,cari,0,['dicari']
1203,Rozi Pardede,,nan,0,['nan']
1204,Rohana Dosmaria Siagian,,nan,0,['nan']
1205,Sondang Rosinta Pasaribu,mantap bou..Aturan gratis pun itu Bou...apalagi udah bou Post foto bou makan disna..,mantap bou atur gratis bou udah bou post foto bou makan disna,1,"['mantap', 'bou', 'aturan', 'gratis', 'pun', 'itu', 'bou', 'apalagi', 'udah', 'bou', 'post', 'foto', 'bou', 'makan', 'disna']"
1206,Laura Harahap,Sehat selalu ya Bou na,sehat ya bou na,1,"['sehat', 'selalu', 'ya', 'bou', 'na']"
1207,Cucu Kayla,Bagi2 lah bou cantik,bou cantik,1,"['bagi', 'lah', 'bou', 'cantik']"
1208,Efrina Rina,Salut buat mami...!!,salut mami,1,"['salut', 'buat', 'mami']"
1209,Nurmala Aritonang,Saya suka dengan lagunya Inanguda,suka lagu inanguda,1,"['saya', 'suka', 'dengan', 'lagunya', 'inanguda']"
1210,Lenny Putri,Mantap bahagia dan sehat sehat  selalu mamie dan seluruh keluarga Tuhan berkati ...selamat menikmati berkat berkat Tuhan,mantap bahagia sehat sehat mamie keluarga tuhan berkat selamat nikmat berkat berkat tuhan,1,"['mantap', 'bahagia', 'dan', 'sehat', 'sehat', 'selalu', 'mamie', 'dan', 'seluruh', 'keluarga', 'tuhan', 'berkati', 'selamat', 'menikmati', 'berkat', 'berkat', 'tuhan']"
1211,Lamsari Oxcelliana Tinambunan,Makan yg banyak miii biar fit lagiii,makan miii biar fit lagiii,0,"['makan', 'yg', 'banyak', 'miii', 'biar', 'fit', 'lagiii']"
1212,Dinna Mariana Manalu,,nan,0,['nan']
1213,Maria Valdez New,Syukur lah udah vaksin ya mi... Sehat selalu mami...,syukur udah vaksin ya mi sehat mami,1,"['syukur', 'lah', 'udah', 'vaksin', 'ya', 'mi', 'sehat', 'selalu', 'mami']"
1214,Laura Hutagalung,Mantap bou hasian sehat selalu dan semakin sukses dalam segala hal yang baik ya komandan l love you,mantap bou hasian sehat sukses ya komandan l love you,1,"['mantap', 'bou', 'hasian', 'sehat', 'selalu', 'dan', 'semakin', 'sukses', 'dalam', 'segala', 'hal', 'yang', 'baik', 'ya', 'komandan', 'l', 'love', 'you']"
1215,Dian Calista,Sehat semua mami syang,sehat mami syang,1,"['sehat', 'semua', 'mami', 'syang']"
1216,Linda Manik,"Bou kan sebritis sudah mendunia,bukan se Nusantara lagi",bou sebritis dunia nusantara,0,"['bou', 'kan', 'sebritis', 'sudah', 'mendunia', 'bukan', 'se', 'nusantara', 'lagi']"
1217,Veronica Veronica,,nan,0,['nan']
1218,Mamak Celine Siahaan,Saya senang dengar lagu bou ini selalu aku putra b ou,senang dengar lagu bou putra b ou,1,"['saya', 'senang', 'dengar', 'lagu', 'bou', 'ini', 'selalu', 'aku', 'putra', 'b', 'ou']"
1219,Samina Sihombing,"Mantaf bou..... Sukses trus, sehat slalu",mantaf bou sukses trus sehat slalu,1,"['mantaf', 'bou', 'sukses', 'trus', 'sehat', 'slalu']"
1220,Nani Sitepu,,nan,0,['nan']
1221,Dewi Sinambela,sehat slalu buat bou dan keluarga bou..,sehat slalu bou keluarga bou,1,"['sehat', 'slalu', 'buat', 'bou', 'dan', 'keluarga', 'bou']"
1222,Audrey Helen,Hi bou..aq br.naimarata jg bou,hi bou aq br naimarata bou,0,"['hi', 'bou', 'aq', 'br', 'naimarata', 'jg', 'bou']"
1223,Yaya Yaya,Kenapa ga tanya detail kedoktery bun,ga detail kedoktery bun,0,"['kenapa', 'ga', 'tanya', 'detail', 'kedoktery', 'bun']"
1224,Robby Al Fazzry,Dtespek positif gk bun,dtespek positif gk bun,1,"['dtespek', 'positif', 'gk', 'bun']"
1225,NiSa Nasa,Penebalan diding rahim Bu bunda gemukah bun,tebal diding rahim bu bunda gemukah bun,-1,"['penebalan', 'diding', 'rahim', 'bu', 'bunda', 'gemukah', 'bun']"
1226,Nadila Khairiyah,Harusnya tanya detail ke dokter bun,detail dokter bun,0,"['harusnya', 'tanya', 'detail', 'ke', 'dokter', 'bun']"
1227,Mmah YusupMah Acca,Ga tanya dokter ya bun ..bagai mana2 ya ..,ga dokter ya bun ya,0,"['ga', 'tanya', 'dokter', 'ya', 'bun', 'bagai', 'mana', 'ya']"
1228,Ibu'e Rangga,Bukan rahim tebal.tapi lemak mungkin bun,rahim tebal lemak bun,-1,"['bukan', 'rahim', 'tebal', 'tapi', 'lemak', 'mungkin', 'bun']"
1229,Tamara Rizki,Sebelum usg emng ga di testpek dlu?,usg emng ga testpek dlu,0,"['sebelum', 'usg', 'emng', 'ga', 'di', 'testpek', 'dlu']"
1230,Zyy Beautycare,"loh emg ga konsul sama dokternya ,, kalo usg mending tanta detail sedetail sedetailnya biar apa yg jd bahan pertanyaan kita itu kejawab kalo gini kan bingung ,,",loh emg ga konsul dokter kalo usg mending tanta detail detail detail biar jd bahan jawab kalo gin bingung,-1,"['loh', 'emg', 'ga', 'konsul', 'sama', 'dokternya', 'kalo', 'usg', 'mending', 'tanta', 'detail', 'sedetail', 'sedetailnya', 'biar', 'apa', 'yg', 'jd', 'bahan', 'pertanyaan', 'kita', 'itu', 'kejawab', 'kalo', 'gini', 'kan', 'bingung']"
1231,Winda Lesmana,"Kaya aku , pas k dktr rahim aku sehat sehat ajja pas sma paraji d kmpung ku d urut katanya rahim aku dalem/jauh itu mksd nya gmna yaa , maaf bun jgn d bully panttian 7 taun",kaya pas k dktr rahim sehat sehat ajja pas sma paraji d kmpung ku d urut rahim dalem mksd gmna yaa maaf bun jgn d bully panttian taun,1,"['kaya', 'aku', 'pas', 'k', 'dktr', 'rahim', 'aku', 'sehat', 'sehat', 'ajja', 'pas', 'sma', 'paraji', 'd', 'kmpung', 'ku', 'd', 'urut', 'katanya', 'rahim', 'aku', 'dalem', 'jauh', 'itu', 'mksd', 'nya', 'gmna', 'yaa', 'maaf', 'bun', 'jgn', 'd', 'bully', 'panttian', 'taun']"
1232,Irma,Penebalan dinding rahim..nanti kalo bunda sdh dtng haid...itu keluar juga bun.bunda i7ga di anjurkan diet...aku dulu gitu,tebal dinding rahim kalo bunda sdh dtng haid bun bunda iga anjur diet gitu,-1,"['penebalan', 'dinding', 'rahim', 'nanti', 'kalo', 'bunda', 'sdh', 'dtng', 'haid', 'itu', 'keluar', 'juga', 'bun', 'bunda', 'iga', 'di', 'anjurkan', 'diet', 'aku', 'dulu', 'gitu']"
1233,Syah II,"Katanya kan kmren tes garis 1 bund. Seharusnya bundanya harus tanya se detail""nya. Biar GC jadi pertanyaan.. knpa smpk telan berbulan"" gtuu",kmren tes garis bund bunda detail biar gc knpa smpk telan bulan gtuu,0,"['katanya', 'kan', 'kmren', 'tes', 'garis', 'bund', 'seharusnya', 'bundanya', 'harus', 'tanya', 'se', 'detail', 'nya', 'biar', 'gc', 'jadi', 'pertanyaan', 'knpa', 'smpk', 'telan', 'berbulan', 'gtuu']"
1234,Alvianti Vita,"Itu mungkin penebalan dinding rahim Bun,itu biasany di kasih obat,dulu saya pernh nglmin itu",tebal dinding rahim bun biasany kasih obat pernh nglmin,-1,"['itu', 'mungkin', 'penebalan', 'dinding', 'rahim', 'bun', 'itu', 'biasany', 'di', 'kasih', 'obat', 'dulu', 'saya', 'pernh', 'nglmin', 'itu']"
1235,Painem Painem Paijem,Mentruasi p g,mentruasi p,0,"['mentruasi', 'p', 'g']"
1236,Nung Maniezt,Itu penebalan dinding rahim bund,tebal dinding rahim bund,-1,"['itu', 'penebalan', 'dinding', 'rahim', 'bund']"
1237,Nur Joni,"Belum rezeki sabar aja ,mungkin Allah belum percaya menitip kan malaikat nya",rezeki sabar aja allah percaya titip malaikat,1,"['belum', 'rezeki', 'sabar', 'aja', 'mungkin', 'allah', 'belum', 'percaya', 'menitip', 'kan', 'malaikat', 'nya']"
1238,Suhariadi,sabar bund banyak berdoa agar cpt di kasih momongan...mungkin Allah masih punya rencana lain untuk bunda,sabar bund doa cpt kasih momong allah rencana bunda,0,"['sabar', 'bund', 'banyak', 'berdoa', 'agar', 'cpt', 'di', 'kasih', 'momongan', 'mungkin', 'allah', 'masih', 'punya', 'rencana', 'lain', 'untuk', 'bunda']"
1239,Siswati Aditya,"Apakah SDH mencoba kosumsi air mineral(alkali silika jaya Nusantara)bxak manfaatx bund,untuk menetralisir zat""kimia/lemak""yg menumpuk di dlm tubuh kita dan menyuburkan kandungan",sdh coba kosumsi air mineral alkali silika jaya nusantara bxak manfaatx bund menetralisir zat kimia lemak tumpuk dlm tubuh subur kandung,0,"['apakah', 'sdh', 'mencoba', 'kosumsi', 'air', 'mineral', 'alkali', 'silika', 'jaya', 'nusantara', 'bxak', 'manfaatx', 'bund', 'untuk', 'menetralisir', 'zat', 'kimia', 'lemak', 'yg', 'menumpuk', 'di', 'dlm', 'tubuh', 'kita', 'dan', 'menyuburkan', 'kandungan']"
1240,Siswati Aditya,Semua pake perantara serta berdo'a sama Allah,pake antara berdo a allah,0,"['semua', 'pake', 'perantara', 'serta', 'berdo', 'a', 'sama', 'allah']"
1241,Mull Van Hoten,Di TF negativ apa positip,tf negativ positip,0,"['di', 'tf', 'negativ', 'apa', 'positip']"
1242,Yola Anggraini R,"Aku dulu penebalan dinding rahim juga kata dokter bun,tp hasil tespek aku positif,dan aku bertawakal aja bun, alhamdulillah bulan berikutnya aku nggak haid,dan sekarang aku lagi hamil 8 bln",tebal dinding rahim dokter bun hasil tespek positif tawakal aja bun alhamdulillah nggak haid hamil bln,1,"['aku', 'dulu', 'penebalan', 'dinding', 'rahim', 'juga', 'kata', 'dokter', 'bun', 'tp', 'hasil', 'tespek', 'aku', 'positif', 'dan', 'aku', 'bertawakal', 'aja', 'bun', 'alhamdulillah', 'bulan', 'berikutnya', 'aku', 'nggak', 'haid', 'dan', 'sekarang', 'aku', 'lagi', 'hamil', 'bln']"
1243,Silmi Azkia Nissa,Berapa minggu kak ?,minggu kak,0,"['berapa', 'minggu', 'kak']"
1244,Thatha,Mungkin mkzt nya dokter kebanyakan lemak,mkzt dokter banyak lemak,0,"['mungkin', 'mkzt', 'nya', 'dokter', 'kebanyakan', 'lemak']"
1245,Ririn Rtg,"Kaya saya gitu juga bun saya kira hamil ternyata penebalan rahim, krna curiga juga gk mens trakhir nya saya cek ke dokter ternyata darah haid nya nempel kerahim jdi blm bisa hamil, dokter bilang sakit miom",kaya gitu bun hamil tebal rahim krna curiga gk mens trakhir cek dokter darah haid nempel rahim jdi blm hamil dokter bilang sakit miom,-1,"['kaya', 'saya', 'gitu', 'juga', 'bun', 'saya', 'kira', 'hamil', 'ternyata', 'penebalan', 'rahim', 'krna', 'curiga', 'juga', 'gk', 'mens', 'trakhir', 'nya', 'saya', 'cek', 'ke', 'dokter', 'ternyata', 'darah', 'haid', 'nya', 'nempel', 'kerahim', 'jdi', 'blm', 'bisa', 'hamil', 'dokter', 'bilang', 'sakit', 'miom']"
1246,Novi Iskandarr,Sebelumnya udah tespek ya bun,udah tespek ya bun,0,"['sebelumnya', 'udah', 'tespek', 'ya', 'bun']"
1247,Lina Marwah,"Maaf Bun... Lari dari topik... Bun anak aku umurnya masih 21 hari, GX apa2 kan Bun debaynya potong kuku??",maaf bun lari topik bun anak umur gx bun debaynya potong kuku,1,"['maaf', 'bun', 'lari', 'dari', 'topik', 'bun', 'anak', 'aku', 'umurnya', 'masih', 'hari', 'gx', 'apa', 'kan', 'bun', 'debaynya', 'potong', 'kuku']"
1248,Titik Sadja,Mngkin ibu prnh kggurn kh shingg mnjdikn dinding rahim tebal,mngkin prnh kggurn kh shingg mnjdikn dinding rahim tebal,-1,"['mngkin', 'ibu', 'prnh', 'kggurn', 'kh', 'shingg', 'mnjdikn', 'dinding', 'rahim', 'tebal']"
1249,Sutik Ningrum,Lo na pyn telat mens ap ngk c bun,lo na pyn telat mens ap ngk c bun,0,"['lo', 'na', 'pyn', 'telat', 'mens', 'ap', 'ngk', 'c', 'bun']"
1250,Isni Talbiaah,Biasanya itu peneballan dinding rahim bun,peneballan dinding rahim bun,0,"['biasanya', 'itu', 'peneballan', 'dinding', 'rahim', 'bun']"
1251,Ndoro Putri RanRan,Biasanya pake transvaginal lebih akurat,pake transvaginal akurat,0,"['biasanya', 'pake', 'transvaginal', 'lebih', 'akurat']"
1252,Chebonk Art,"Tapi sebelum nya udah di Tespek.ngak buk ,Sampe berapa bulan ngak haid buk",udah tespek ngak buk sampe ngak haid buk,0,"['tapi', 'sebelum', 'nya', 'udah', 'di', 'tespek', 'ngak', 'buk', 'sampe', 'berapa', 'bulan', 'ngak', 'haid', 'buk']"
1253,Hafiza Lubna,Diet bund.,diet bund,0,"['diet', 'bund']"
1254,Cici N Nasaru,Kalo saya Bun rahim nya kecil kata dokter itu gimanayah,kalo bun rahim dokter gimanayah,0,"['kalo', 'saya', 'bun', 'rahim', 'nya', 'kecil', 'kata', 'dokter', 'itu', 'gimanayah']"
1255,Nooerhalimah,"Dinding rahim tebal biasanya bun, soalnya pengalaman saya begitu jadi susah untuk hamil,, biasanya dokter nyaranin buat diet bun untuk menipiskan lemak dinding rahim kalau sudah tipis insyaAllah sudah siap untuk di buahi..",dinding rahim tebal bun alam susah hamil dokter nyaranin diet bun nipis lemak dinding rahim tipis insyaallah buah,-1,"['dinding', 'rahim', 'tebal', 'biasanya', 'bun', 'soalnya', 'pengalaman', 'saya', 'begitu', 'jadi', 'susah', 'untuk', 'hamil', 'biasanya', 'dokter', 'nyaranin', 'buat', 'diet', 'bun', 'untuk', 'menipiskan', 'lemak', 'dinding', 'rahim', 'kalau', 'sudah', 'tipis', 'insyaallah', 'sudah', 'siap', 'untuk', 'di', 'buahi']"
1256,Arsyila Mawaddatul Jannah,"Tebal itu krna trlalu banyak lemak,,,,trs dokter nya nyaranin bunda gimana?",tebal krna trlalu lemak trs dokter nyaranin bunda gimana,-1,"['tebal', 'itu', 'krna', 'trlalu', 'banyak', 'lemak', 'trs', 'dokter', 'nya', 'nyaranin', 'bunda', 'gimana']"
1257,Marcella Ezz,"Seharusnya tadi usg nanya sama dokternya Bun biar enak,,,terus nanya solusinya gimana gitu bun",usg nanya dokter bun biar enak nanya solusi gimana gitu bun,1,"['seharusnya', 'tadi', 'usg', 'nanya', 'sama', 'dokternya', 'bun', 'biar', 'enak', 'terus', 'nanya', 'solusinya', 'gimana', 'gitu', 'bun']"
1258,Leha Po'nyak,Tebal karnah bnyk lemak kyk nya jadi bgtuu kurangi mkn nya dlu ya bunn di dkt rmh bnyk kok kek gtuu,tebal karnah bnyk lemak kyk bgtuu kurang mkn dlu ya bunn dkt rmh bnyk gtuu,-1,"['tebal', 'karnah', 'bnyk', 'lemak', 'kyk', 'nya', 'jadi', 'bgtuu', 'kurangi', 'mkn', 'nya', 'dlu', 'ya', 'bunn', 'di', 'dkt', 'rmh', 'bnyk', 'kok', 'kek', 'gtuu']"
1259,Rini Mamath Putra,"Maap bun saya mau tanya klw hed gk lancar pengn hed lancar kira"" minum apa y",maap bun klw hed gk lancar pengn hed lancar minum y,0,"['maap', 'bun', 'saya', 'mau', 'tanya', 'klw', 'hed', 'gk', 'lancar', 'pengn', 'hed', 'lancar', 'kira', 'minum', 'apa', 'y']"
1260,Alex Alex,Hi..bunda semoga sehat selalu ya,hi bunda moga sehat ya,1,"['hi', 'bunda', 'semoga', 'sehat', 'selalu', 'ya']"
1261,Zarina Zamoure,lum jo terungkap lai na,lum jo ungkap lai na,0,"['lum', 'jo', 'terungkap', 'lai', 'na']"
1262,Chiie,Kejam,kejam,-1,['kejam']
1263,Melda Yanti,jangan sampai kakek nya kabur,kakek kabur,-1,"['jangan', 'sampai', 'kakek', 'nya', 'kabur']"
1264,Endang Erwina,"Ya allah kejamnyo lai...serah kan diri se la lai.siapopun pelakunyo indak k bs lalok lamak do.allah itu tdk tdurr..bkin pusiang urang se,indak k bs bebas do setelah berbuat skejam itu",ya allah kejamnyo lai serah la lai siapopun pelakunyo indak k bs lalok lamak do allah tdurr bkin pusiang urang indak k bs bebas do buat skejam,1,"['ya', 'allah', 'kejamnyo', 'lai', 'serah', 'kan', 'diri', 'se', 'la', 'lai', 'siapopun', 'pelakunyo', 'indak', 'k', 'bs', 'lalok', 'lamak', 'do', 'allah', 'itu', 'tdk', 'tdurr', 'bkin', 'pusiang', 'urang', 'se', 'indak', 'k', 'bs', 'bebas', 'do', 'setelah', 'berbuat', 'skejam', 'itu']"
1265,Weninoeferi,Astagfirullahalazim....kejam bn neneknyo,astagfirullahalazim kejam bn neneknyo,-1,"['astagfirullahalazim', 'kejam', 'bn', 'neneknyo']"
1266,Apri Susanti Lili,di mn tu kajadianyo.disolok selatan,mn kajadianyo solok selatan,0,"['di', 'mn', 'tu', 'kajadianyo', 'disolok', 'selatan']"
1267,Indra Dilly,Kejam nyo ya Allah...,kejam nyo ya allah,-1,"['kejam', 'nyo', 'ya', 'allah']"
