Username,Komen
Umardi Darmawi,Kalo arogan kandangin aja dikantor polisi...emang kalo emosi tu anak bisa langsung sembuh...intinya yaaa sabaaar..biarkan mereka/perawat itu bekerja.. mereka lebih memahami pekerjaan nya...kalo anda merasa pinter & kaya..bawa ja ke RS elit ato buat RS …
Dharma L Wijaya,Ada apa dg satpam nya
Robert Kaliku,Semoga keluarga nya yg sakit........ cepat mati
Ahmad Prakoso,.
Muhammad Lutfi Aba,"2tahun 8bln penjara,,, semoga saja penegakhukum propesional dlm kasus ini...tolong Amin-kan..."
Sitimba Laut Sitimba Laut,Security nya buat ap itu
Dea Al Kamal,Mkanya rekrut org yg bner
Nungky Anggraheni,Tuhan bantu aku utk mengatasi manusia satu ini
Heni Yusmaniar,CATAT KELUARGA INI KLAU BERURUSAN LAGI KERUMAH SAKIT JANGAN DITERIMA
Evayanti Naiggolan,Di bina lagi jgn terulang lagi...
Amorfath,njing
Ndan Jun,"Saya tunggu berita selanjutnya he..he. .., distasion Tv"
Nungky Anggraheni,Pakem 9
Bang Win,Tunggu berita selanjutnya ...min...
Arif Prianto,"Satpam lucu, gak guna"
Liez Hadi,
Nungky Anggraheni,Biar hdpku tenang dan hdpmu jg tenang
Dino Wongso,Gak punya adap
Ragiel Agiel,Ntu satpam diem bae
Nungky Anggraheni,Tuhan itu tau baik buruk seseorang
Tjhandra Tjatoer Darmawan,Dasar bobi
Yulianto Yufina,Bicarakan dan tindak dengan cara yang baik
Raja Iqbal Bungsu,sikurity diam waaee
Anton Manurung,P
Anton Manurung,P
Arsyad Sijaya,Andai dia saudaraku apapun pangkatmu
Sasaji Nukus,Ujung² e juga materai beres
Meii,
Jimmy Revelino,"orang lain"" kita gak tau"
Kristian Duemeo,Tunggu meterai selanjutnya.
Syobur Fajar,Ah tolol !
Ika Rahayu,Malualuin orang kantor lagi berantem
Ade Irma Suryani,Sapamnya bodoh
Jiencha PupujPuji Kaze R,Materai materai
Djulin,"Semoga hukum tidak buta melihat peristiwa ini... perempuan telah dianiaya,"
Kip Lee,Maklum ..
Risky Ainur Yahya,Pasti pasien bpjs.  Pelayannanya nol
Saadin,Tangkap !!!
Aan Afiudin,Perasaan rumah sakit punya scurity ya
Zain Arif Campreto,.
Budi Ono,Polisi itu katanya y
Denny Kodox,tempramental..
Fauzy Bilqis Al Azhar,Ngaku2 polisi lagi
Pa'Ester Tinambunan,Manusia biadab
Panjoel Soak,P
Dzaki Al'fathah,Satpam penakut di piara..
Reck Kondra,"Anjing nih orang, kalau kamu polisi berharap kamu di pecat"
Neldy Dominggos,Satpam nya penakut tolloolll pecat satpam katro
Zhoan Kae,Up
Yan Micko Bartion Part II,Up
Yan Micko Bartion Part II,Up
Yan Micko Bartion Part II,Tangkap ..
Yan Micko Bartion Part II,Up
Hari Santosa,Mat
Enkzell Bz,Security nya OOooon
Junior,Penjara menanti mu
Santibr Simanjuntak Sa,
Sam's,Scurity mana security
Alamsyahcepper,"Lapor kn,tdk punya etiak Luh"
Iskandar,"Jagan mau di ajak Damai sama pelaku, Tempuh jalur Hukum"
Fawzhan Ozhy,paling ujung2nya minta maaf...
Jokowahyono,Security malah nanton
Adjad Bo,Proses hukum lebih bagus
Moekhliez Ragiel Poetra,Viralkan
Eko Rini,"# Lain kali kl bapak ini n keluarganya sakit...jangan bawa ke rumah sakit...tusuk sendiri aza pak,beli infus n obat di apotik.PERAWAT JUGA MANUSIA.#"
Ida Nur Momy Niko,Laporin aja kepolisi orang kaya bgtu.. Itu manusia apa setan ya
Pelita Warna,Endinge mediasi
Okta Dwi Setiawan Tata,Brani smo cewek...banci itu orang.
Qiqi Anisyah,Security nya diem aja . Gimana
Efni,Visummmmm
Dwi Sumarwan Sumarwan,Ko dia bilang sia polisi ya
Ibnu Sutowo Lks,Miris.
Nanda Bayu,NARASINYA SALAH
Heppy,Gilaaaa
Tarmu Sugeng,Orang kaya
Rizal Boy,bagus
Muhamad Rudi Anton,Srang  serang
Anjhu Tambss,Makanya layanin lah pasienmu dengan senang hati dan ikhlas karna kamu tu dibayar.
Miftakul Khoirun Anwar,Pak Satpam tolong lah
Tut Van Hoten,Meterai 6000 ne
Samsul,Terciduk mewek nih
تنطوي,Ditunggu klarifikasinya min
Halimah Halimah,Satpamsatpaaaaam
Ay Umayah,
Lukmanul Hakim,"Tolak kluarganya di rumah sakit manaapun, biar tau rasa!!!"
Soni Cahyono,Tangkap...
Raden Bumi Dan Seisinya,Ya Allah semoga anaknya meninggal aminnnnn
Ary Abl,Nanti juga mewek
Nur Aminah Syam,
Maya Pasaka,Nanti di polisi baru jelas
Sultan,Tai anjing anak dajjal...!
Ahmarly Aries,Viralkan...orang seperti tidak bisa diterima dirumah sakit manapun...
Akhmad Dzulfikar Wibisono,Kasian Perawatnya.
Lisda Wilyanti II,
Torro Brown,Jangan kasih damai...Supaya kedepan ada pelajaran untuk orang yg kayak gini...hukum maksimal
Ali Muktar,Semoga pasien baik2 saja dan di sembuhkan dari penyakitnya... Aamiin
P Salu,Tangkap
Hendri Hendri,Jangan di ampuni.... Mendidih
Ocha Nya Adhie,kapookkk...
Gunawan Kong,
Kustianah Kustianah,Up
Jiwa Bumi Rantau,Arogan
R Harun Arasyid R,polisi ihh ngerii
Elrin S,viralkan...biar dimasukan dlm penjara
R Febrian Ach,Hmm
Budi Subhani Novoselic,
Boy'scout Barry's,No comment karna sedang tidak ditempat…
Adhi Nugroho Latief,Pemukulan termasuk tindakan yg kriminal
Robinson Barus,"Polisi pula  ,wau gak berubah"
Robinson Barus,Manusia egois .
Azhari Nasution,P
Frido Ahmad Budian,Mentang mentang plokis ..seeeeh
Musrifah,kasian banget aku liatnya
AL Ali Iskandar,Jgn memaki siapapun karena kita tdk di posisi mereka
Jumsi,Sesuatu itu pasti ada sebab
Xampret Asololey,Up
Ifoel Benz Ifoel,Manusia angkuh...
Erick Wahyu W,Up
Erick Wahyu W,Up
Erick Wahyu W,Up
Erick Wahyu W,Up
Erick Wahyu W,Up
Erick Wahyu W,Up
Erick Wahyu W,Up
Liu Zu Bun,Polisi ternyatah
Muhammad Ramadhan,"coba lwan kopassus brni g,pling jg lo g pnya kontol"
Philemon Liman,Lahh itu ada security diem bae ya
Lingga Terate Sie,Saya jg polisi pak ......pakek ngaku2 polisi lah dia
Erikson Pakpahan,Sdh di tangkap belum
Andi Rifan,Beraninya sama perempuan babi ini!
Wak O N O,Anjengnya itu yg baju merah !!!
Gin Wnt,"Satpam bingung...,,hadeh"
Rohmat Ghozali,Polisi jd bebas
Bayu Aji,Situasi yg berat
Dens Tea,"Nanti juga damai saling memaafkan,,,"
Safar Ziko,Kox sya yg jd emosi ya
Kiplii,Klarifikasi Minta maaf selesai
Teguh N,Ditunggu video clarifikasinya
Antoni Putra Zhakiez,BENER LAPORIN JANGAN SAMPAI ADA KATA DAMAI......
Kusuma Landy,Kasus in aj
Muhammad Ramadhan,Lwan koppassus brani g anjing polisi
FiLsa Aji Prakoso,Up
Soponyono,Arogan ..
Della Delvira,
Ayuusri,
Dani Saputra,bos ya udah gila itu ya
Saefudin Saefudin,Tidak bisa komen ah semoga saja urusannya selesai dengan damai
Mamong Dewe,Polisi kok arogan
Yovie Iskandar,Security nya takut
Joni Sijori,"Jujur saya sebenarnya nggak mau komentar, tapi nggak enak sama yang bikin status. Kan dia nulis status ini udah capek. Ya udah aku komenin aja biarpun Cuma singkat. Tak perlu panjang lebar biar yang baca nggak pusing. Kesel juga kan baca komen terlalu …"
Candy Dey,Seru ya
Imam Hafidz,SECURITY TOLOL BEGO CUMA JAGA PINTU BLOON
Lahabo'o,Menyimak para senior berkomentar
Cuk Baju Kokot,wajar j
Kaesang Bagus Pranadja,up
Kaesang Bagus Pranadja,up
Kaesang Bagus Pranadja,Up
Kaesang Bagus Pranadja,Up
Kaesang Bagus Pranadja,Up
Alfatih Bari,Lg2 arogan
Bayu Budi Haryanto,"Ready materai promo 50% kaka , silahkan di order . Senin harga naik ya"
Sujud Susanto,Dahsyat
Noval Anggara,Waw....
Deny Setiawan,Security-nya Cemen amat itu...gblk
Mas Arif Ilhami,Betulll itu udah betullll itu
Her Her,Indonesia... Indonesiaa...
Sutrisno Doank,"Sabar, bulan puasa"
Wisnu Abdilah,norakk
Dstam Candra,Angkuh sekali and awahai lucknut
Prabu Chipy Guntur Sakety II,UP
Tanaka,jangan d pasang biar mampus
Muhammad Saad,laporkan saja ke polisi
Buddy Wae,Puasa..  Puasa..  !!!
Santoso Teguh,ditunggu konspirasinya
Cind Arofiu,Puasa puasa oyyy
Membo Membo,Berat securitynya...
Ahmad Maulana,
Hery,Sedia Materai 6000...
Nayla Khairunnisa,Ramadhan .....moga semuanya baik baik saja ....
Joko S,JANGAN CUMA MINTA MAAF DN MATERAI .....
Anang Wibowo,Arogan sekali yah...
Neng Lia Amor,Kasian mba perawat ny
Suriadi Bella,Security-nya gak guna
Amil Emha,No materai.. no damai.. proses hukum..
Salam,Tunggu part selanjutnya dong
Ayu,
Omat Ayahnya Faqih,Nunggu berita selanjutnya
Ronal Rhafael Rhafy,Paling materi 6000
Ela,Heuduh inget pak ini bln puasa
Mauliani Titin,Jahat
Kurniawan Septa,Itu securitynya plonga plongo
Abdul Karim,"Arogan pak, berlebihan anda"
KT Awix,Dasar mahluk Arogan
Sibon Bae,Itulohhhh orang2 yg berotak Dangkalllll
Widhi Atmoz,Penjara kan
KT Awix,Keterlaluan
Zhi Ahmad Zabadi,Ya Allah beb  kamu jgn sampai begitu yaa
Ki Moustopo,itu petugas kemanannya malah diem bae..
Slam Marvin,Bodo amat
Selamet Riyono,Up
Pak'e Fiki,Sok hebat
Paijin,Up
Paijin,Up
Paijin,P
Paijin,Up
Arifin Zi,
Paijin,Up
Paijin,Up
Bang Pandy,Scurity
Ishaq Maulana Al Kahfi,Laporin aja biar tau yg salah
Mukhlis Dt Hitam,Manusia sombong ..laporkan mbak jangan mau damai...mentang2 polisi ....kurang ajiar.
Wahyu Brebes,Securtynya ngapain pea
Ridwan,Laporkan tindakan penganiayaan. .
Azka Jaya,Viral kan aja
Hermansyah Al Farizi,"Waduh Arogan sekali sibapak,!"
Wiiand Wiiand,I
BurHam AnDreaz,Up
Risma MaRlina,Mungkin ada sebab nya hingga sperti itu ..
Likex Ahmad,Gue Polisi ?
Syarif Naba,Jngan datang ke rumah sakit klau tdk mau lihat darah.......
Rino Oki,Satpamnya lulusan mana itu
Sazlina Mdsalleh,Kurang ajarr
Galih Trianggara,AROGAN
Devana Humaedi,Masukan penjara.. JNgn kasih damai..
Danz Danil,Te elling jelma th
Mas'ud Khamsanie,Sekuriti nya diem baeeee
Taufik Bin Latief,security diem aja
Adiyanto,Sapamnya cement..
Eko,Up sampai disanksi
Dina,Up
Dina,Up
Heri Andry,Ntr jg klarifikasi minta maaf
Abdul Wahid,Klarifikasi
Dheo Kumala Wongso,Mudah2an di pecat
Dheo Kumala Wongso,Up
Safrel Kana Loem,Polisi begok x
Antiq Poenya,Up
Antiq Poenya,Up
Antiq Poenya,Up
Andika Prayuwana,
Permen Komix,MAAF
Ignas,Semoga YANG NGAKU POLISI itu lekas  diterima disisi Tuhan . AMIIIIIN
Ismoyo Haryadi,BAGUSSS....
Om Davit,Arogan..kandangin.!!
Hermawan Iwans,Laporkan
Fahmi,Ohh anggota
Johnkiss,Satpam
Ade Aris Setiawan,Mantap
Krismas Romulo Pakpahan,Security diam saja
Sapta,Satpamnya cmn nonton
Ahmad Agus Riyadi,Up
Ahmad Agus Riyadi,Up
Meilia Susan,Adeuhh
Bhakti,Ngaku pulisi?? Perilaku begitu ke perempuan?? Dasar Psikopat
Fa'cal Jr,Mari kita ramaikan
Ahmad Fahli Monek,oh jd kalo polisi semau nya ya
Dedy Yulianto,Slmt berbuka puasa
Mas Ilham,Umbulke
Yunita Rumondor,"Sakit jiwa,jgan sampai cuma materai"
Dziko Kholid,Sekuriti tolol diem doang
Wahyu Scl Singosari,Gue polisi
D̶̲͉̋̒̈́̉̄͑͗̀̏̏ͅę̵̯̦̩̟̤͉̳̜̌̾d̶̡̛̛̛̛͈̼̱̼̟̹͈́̂̅́́͠i̶̧̧̺̥̺̪̙̱̪̰̎̈̄ ̷̮̭͕̱͇͓̭͇͈͈͐͊̌̂̂͐͂̉̿͠O̶͉̐͊̏́k̷̢̿̾͊͝ţ̷̲̔a̸̢̯̮̬̤͔͉̰͒́ H̶̨͔̫̪̘͎͍̣̓̃̐͋̌͝͠͠ȩ̸̻̺̳͈̞̱̹͍̃̐͛͛̋̽̔ͅr̵͉̳͍̠̘̱̈̅̒̏͛̃̅̚͜ͅm̵̡͎͇̤̰̺̬͒̍͗̾̿͘̕a̵̞̳͆͂̇͌ẁ̸͎͝ẳ̸̹̲̹͍̪̈́̐̇͝ͅn̵͙̻̦̯͕̹͎̪̖̉͐̔͊͜,Waw
Wanly Franciscus Bakkara,Ditunggu kelanjutannya
Findriatno,Sedih
Habib Ali Wardaya,Tengil gaya lo..so aparat tai lo
Faksi Satrianayudha,Satpam nya diem aja haduh
Angga Jak Lah,up
Wanly Franciscus Bakkara,Up
Paruhum Dominicus,Paling2 materai solusinya. Wkkwwkk
Yongki Septa Dørkṩscreamoe,Tindak lanjuti secara UUD
Dadan,Up
Aziz Abdul Ngashim,Gw polusi
Denz Rangga,"sok jago, ANJIM"
Ari,Guwe pramuka
Nikolay Buyunk Petrenko,Satpamnya planga plongo doang ..
Fitra Syafitra,Sombong amat
Yogi Haryanji,Astagfiraullah
Fendi Pradana,Mentang2
Iqbal Zulfikar,"""gua polisi"""
Aulia Lia Bebwhitec,"Kurang ajar,, sakit hari klo liat yg bgni beraninya sama perempuan,, semoga d hukum yg setimpal"
