Username,Komen
Steven Richard,"Percuma lapor polisi... Toh bapak nya yang ngeroyok polisi juga... Paling suruh damai... Bawa ke komisi perlindungan wanita, komnasham, ama ke polri biar bisa kena sanksi..."
Fahrul Didi,Gue gemes Ama satpam Nye
Asparin Rin,Macem binatang dan tak punyak akal iti si botak
Bonsai Alam,Emang kalau lo polisi bisa berbuat semena mena sombong sekali anda
Raden Adnan,Satpam RS nya kenapa gak bertindak tegas
Nungky Anggraheni,Tolong jawab dgn jujur dmn kamu taruk brg aku semua
Stya Fermana,Suruh bawa ke dukun aja. Jangan ke rs
Mohammad Rizki,Malu maluin nama bawa polisi
Ila Widara,Yg pake baju dongker diem aja tuh
Eckha Rockabilly,Ga ush pake klarifikasi biar kapok
Idris Kancill,tulah klo lulus hasil sogok
Rangga Adit Levi,Ya sakit bukan kita yang minta....
Achmadyazid,durasi jambaknya kurang Lamaa
Atiex Atux,Org nya menyesal tp mo gimna lagi nasi sudah jadi bubur buat pelajaran untk yg lain juga jangan main pukul seenak udel e dewe krn negara kita negra Hukum
Rinjani Herman,Aku loh kemarin darah di tangan sampai moncorot kayak geni sakit nya luar bisa dan suster nya kasar aku diyem aja.
Lingga Terate Sie,Hallo pak....
Nyayu Ayuu,Dah dilaporin
Dwi,Dia polisi kah? Kok Ngomong 2 polisi
Paimo Solo,Trs kl elu ngaku aparat.Lu bs pukuli orang??Tuntut sj.Biar dipecat
Re Ya,Aku diambil sample darah nya sampai lebam gini aku gak Marah
Farid Ari Purnawan,Dan akhirnya
Paimo Solo,"sj,+pasal penganiayaan.Coba elu mau apa?"
Refli,Otw ditangkap klo ga minta maaf nih
Supri Yanto,Padahal masih lucu lucunya sudah hilang ...... kasihan netxen +62
Alif,Pelkunya segera di tangkap aja .lalu di tonjok 100 x
Sara Pawitra,Pelaku udah pake baju baru weee
Khodijah,Tendang tytyd nya gemazzz saya liat nya
Wijaya Saputra,"Yg goblok itu security nya, sudah tau ada insiden kaya gitu malah diem aja...."
REVANZKY AZHURA ID,Di tolong ko kaya ajing..dsr kewn liarr tuh pasien.
Klinik Afiyah,
Klinik Afiyah,
REVANZKY AZHURA ID,Klo q yg jd perwat nya ku cekik tuh ank psien mpe modar di tolong gk tau diri bget
Klinik Afiyah,
Lyn Hws,"Lelaki baju merah nie, seharusnya di cek dulu, mungkin dia ada sakit mental, maklumlah musim pandemik, banyak orang sudah gila. Terbaik bpk celana pendek telah menolong dan meleraikan. Satpam di rumah kan aja karena ngga ada fungsional nya. Staff peraw…"
Dodi,
Ichfar Ippank,Uknum Polisi yg tolol tdk m'beri contoh mrusak Citra instansi pke sebut² pdhl tdk dlm tugas
Eny Wiandani,"Keinget 8 thn yg lalu, gara"" G bsa diinfus ditangan kanan & kiri jd mau diinfus dikaki, pas mau disuntik kekaki langsung dong ya kta sepakin perawatnya , dan akhirnya perawatnya ngalah ngelihat pasiennya nangis ketakutan disuntik dikaki , perawat…"
Fauzi Fauzi,
Yere Mias,Itu SECURITY nya ( pakai safari ) knp bnyak diam knpa TK ada aksi nya.
Yohanes Alexsia Wisang Anarkhy,yg pakai baju merah itu manusia apa bintang ? harimau saja mau nyerang mangsanya ngendap2 ..tapi Baju merah ini mengalah kan buas nya harimau ..lansung nyerang  brutal liar dasar otak binatang. .. paling2 minta mf mslh selesai.. bangsat banget
Aqiilah Vino,"Anak gue juga pernah di infus,sampai berdarah waktu mau disuntik,tapi gue ga sampai segitunya,gue berpikir mungkin dokternya bego,makanya gue maklumin,yg Jambak rambut susternya itu tidak dibenar kan,tp itu hal yg spontan dilakukan karena orang tua pas…"
Amely Lie,Kaya ny biaasa deh kl madalah infus berdarah mah..mungkin bpk nya lg bnyk pikiraan jd stres
Farhan Farid,"Sy pernah ngalamin 10 thn yg silam,mau Pasang infus di tangan  sampai suntik berkali-kali kasian anak saya sampai berdarah."
Muchammad Adha Yuliatmoko,Besok2 kalo dia sakit langsung suntik mati aja
Shopie Hana,Huufff sya juga kdg bentak suster nya juga .krna kondisi ank sya gimna ya .sya lgsung menangis. ..tpi bbrpa saat lgi sya minta maaf lgi..dan suster nya bilg iya buk .sya Pham sya juga seorang ibuk
Dadan Darusalam,"Anjing tuh bapak2 goblok . Ga segitunya kali . Ngejambak perempuan ampe sgtunya , klo pun tuh perawat salah , harusny komplain ke atasanny . Bukan main fisik . Ap lg sama wanita .."
Jaya Barandal,Dokter emang harus di gituin wong dia bayar ko. Yang pakai BPJS pun harus bgt kalo mereka ga mau ladenin/ga becus ladenin.suruh jadi dukun urut AE jgn jadi perawat)dokter.
Sumantri My,"""Yang baju merah jangan sampai lepas"" (alm.kasino)."
Mul Jr.,
S Pradiptya,Lucu liat yang pake baju safari... Bukannya nenangin/ngelerai malah nonton
Ayu Fransiska,"Kalau cabut infus, pasang infus gak mau berdarah... Besok besok berobat ke paranormal aja pak"
Lilis Haris,
Aldy,Garang2 dahulu.. ketangkap ciut... Bawa aja pulang ke rumah trus infus dan rawat sndri.. itu mah udah mending.. susternya udah berusaha ... Kalau kelalaian yg berakibat fatal mah keg kejadian yg prnh gw nnton wajar marah2...
Faeyza Fikri,
Ozge Serkan,"Goblok ni org wajar klu di ifus diccuk dom keluar darah,, klu a tendang burung bpk bju merah biar tau rasa'ny sakit.. jgn dim'f kn penjara'kn"
Etha Yopanus,ga lama minta maaf tapi anak orng dah d jambak2 .. pasang infus aja sndri bikin emosi liat
Purnama Putra Wayan,Klo gw dsana ud tempeleng tu bapak2 biar alam sadarnya kembali
Merry Tambunan,"Geram x nengoK nya bahh,, jijik x liat laki2 kasar"
Gede Agus,Kalo suda begini dh biar si  kluarga itu aja yng masang impus kalo emang bener bisa kasi conto tolol
Safrel Kana Loem,Teguran mgn prl tapi ngk segitu ny x
Gelandangan'e Lemah Wangi,Ni mah tolol klo gk mau berdarah suruh pasang sendri aj.
Fizka Gar,Perawat perawat belajar. Asal masuk kan jarum. Yg dikira dia nya boneka semua pasien ini. Coba coba. Kena batu nya kan
Irwan Hardi,Klo emg salah perawatnya gausah maen tangan jg goblok. Badan doang gede berani sm cewe
Enggar El-Rappha,"Kalo ga berdarah bukan pasang infus namanya tapi pasang perban, tapi apa iya harus di pukul dan dijambak cuma karena gitu doang? Anak lu masih hidup loh. Perdarahan karena infus ga bakal bikin anak lu mati kalo pasang nya di RS."
Tama,Mana ada masang infus g berdarah...goblok nya ini orang
Hanii,Lainya
Hanii,Odah
Rifal Rizky,Suster yahudi
Hanii,Yg
Hanii,Ada
Lavie Wildan Drummer,"Apapun alasan anda, anda bersalah memakai kekerasan."
Putra Dairi D'crack,Cak ela...
Yunike,kegoblokan yang harus tersiar sampe seluruh nusantara. Kapok kamu halomelisa21. Bodoh nggak tertolong. Sekolahpun percuma sudah tua.
Dhito Oziel Alvaro,Sekarang bisa lu ngomong gw polisi...abis Vidio ini viral..ente jadi mantan polisi..apakah harus seperti itu jadi aparatur negara.viral
Firmansyah Prasetyo,Sok jagoan matiin saja org spt itu dasar otak anjing babi
Mas Yayang,"Apapun alasanya,yg baju merah itu bajingan."
Shan Uwongoku,"Byk sekali perawat dak becus kerja.. aq 2x mengalami hal seperti ini di 2 RS yg berbeda, alasannya anaknya gendut tp ketika dokter nya dtg ga pake lama langsung bisa tu.. emang dasar perawatnya aja goblok"
Iyon Ayae Sheina Sheina,"Kalo main kasar sebetulnya semua orang bisa,"
Fhardoshe Imura,"Beraninya Sama perempuan,,sok kayak taik...gaya mu kayak taik.."
Edward Chandra Palangka Raya,Jangan cuman di penjara bapakya itu udah pasal penganiayaan itu bodi besar otak babi
Doremi Tralala,"Gua jual materai bos, jamin beres"
Nurirahmawati,Percma ada sekuriti
Ronny Afrisal,Securitynya kok ga ada sikap
Aquaplant Waru,Info lengkap lihat ig info komando ato lambe turah
Gooners Yuthiee,enak ni data nya disebar biar ga ada rumah sakit yang nerima itu keluarga . namanya cari infus berdarah mah wajar . bloon bloon
Muhammad Jariah,Brengsek ini orang.... Suruh pasang infus sendiri saja...
Jak Ramaa,"Dulu juga ada kejadian seperti itu pas mau di pasang infusan.a . Infusannya ga masuk""Ke pembuluh darah sampai bengkak tangan.a"
Zulkarnain Fuad,Bentar lg paling tu mati suami istri
Tanpa Nama,"Rawat sendiri anakmu pk,blaclish dr semua rs biar modar sekalian,nggak mghargai prawat emang lho kira apa di pukul di jmbak ngash mkn kagak.dasar setan braninya sama prempuan"
Mekz Khamis,kurang ajar yang pake baju merah
රධ,"ujung""nya klarifikasi minta maaf gitu aja trus bngst"
Kasih,Kalo tak becus jangan mau jadi perawat mbk...
Danoe Maksum,Biasa orang kaya.
Rajo Langit Timur,kurangya kesadaran dan mungkin dia orang kaya tp goblok.bravo suster.
Ade Bayou,Gede badannya mainnya jambakan kaya eike
Abdi Way,pasti ada sebab karna akibat...
Danil,Ujung a mintak maaf ini kan di +62
Deant Ahmad,Ga harus kasar seperti itu dooong..ANJIIINK
Yogi Pranata's,"Video kok setengah"""
Aris,BANG-SAD kao !!!
AF Gaming,ga lama LG mewek itu ketangkep sitolol
Daun Talas,Satpam nya pengecut wkwkwkwk dasar payah dasar lemah
Arz Alqaidah,tolong yang baju merah itu di kaplok cangkemee
Clay,Pelakunya wajib cacat tuh..
Wida Sajalah,Lebay bgd ortu nya goblok
Empu Sanibin Kunir,"satpam e kok bego yg baju hitam , seharusnya Satpam bisa mengatasi situasi gawat seperti itu."
Afkar Algivari,Paling jijik sma yg sok jago pgn gw bakar hiduo hidup
Umar Csm,"Klo udah maen kasar lapor polisi aja, penjarain"
Adi N,like baju merah topi putih
Jasiman JazZii,Aku rela membatalkan puasa demi nonjok tu muka
Ahmad Alfan,Itu satpam buat apa kok cuma plonga plongo aja...
Asw Lu Emng,Dih Botak Tengil
M Ikhsan Ihwani,Arogan nya terlalau
Adek Ardi,
Rinalusiana,Laki laki gak punya hati
Hary Merah Putih,Bagus pak hajar saja klw menjengkelkan
Sudarmono Marbun,M.A.A.F
Hary Merah Putih,"Pokoknya mmng dokter dan perawat mmng br3ngsek,mmng tidak semua tp kebanyakan perlakuan mereka seperti setan.emosi benar gua."
Bo'THa,Anjing lo boss.
Hary Merah Putih,"Mmng pihak rumah sakit melayan orang seperti binatang,padahal bayar.biar kapok tu dokter sekalian.p3rawatnya yng suja suka mmperlalkan oasien dg tidak sopan"
M Ade Syahputra,Begok tuh....
Van Diesel,Usut terusss ..
Putra,"Security nya ,aduh"
Khotimah Nuroshop II,Sombong bner bwa bawa jabatan
Antiko Ferry,Triyani
Umardi Darmawi,Kalo arogan kandangin aja dikantor polisi...emang kalo emosi tu anak bisa langsung sembuh...intinya yaaa sabaaar..biarkan mereka/perawat itu bekerja.. mereka lebih memahami pekerjaan nya...kalo anda merasa pinter & kaya..bawa ja ke RS elit ato buat RS …
Dharma L Wijaya,Ada apa dg satpam nya
Robert Kaliku,Semoga keluarga nya yg sakit........ cepat mati
Ahmad Prakoso,.
Muhammad Lutfi Aba,"2tahun 8bln penjara,,, semoga saja penegakhukum propesional dlm kasus ini...tolong Amin-kan..."
Sitimba Laut Sitimba Laut,Security nya buat ap itu
Dea Al Kamal,Mkanya rekrut org yg bner
Nungky Anggraheni,Tuhan bantu aku utk mengatasi manusia satu ini
Heni Yusmaniar,CATAT KELUARGA INI KLAU BERURUSAN LAGI KERUMAH SAKIT JANGAN DITERIMA
Evayanti Naiggolan,Di bina lagi jgn terulang lagi...
Amorfath,njing
Ndan Jun,"Saya tunggu berita selanjutnya he..he. .., distasion Tv"
Nungky Anggraheni,Pakem 9
Bang Win,Tunggu berita selanjutnya ...min...
Arif Prianto,"Satpam lucu, gak guna"
Liez Hadi,
Nungky Anggraheni,Biar hdpku tenang dan hdpmu jg tenang
Dino Wongso,Gak punya adap
Ragiel Agiel,Ntu satpam diem bae
Nungky Anggraheni,Tuhan itu tau baik buruk seseorang
Tjhandra Tjatoer Darmawan,Dasar bobi
Yulianto Yufina,Bicarakan dan tindak dengan cara yang baik
Raja Iqbal Bungsu,sikurity diam waaee
Anton Manurung,P
Anton Manurung,P
Arsyad Sijaya,Andai dia saudaraku apapun pangkatmu
Sasaji Nukus,Ujung² e juga materai beres
Meii,
Jimmy Revelino,"orang lain"" kita gak tau"
Kristian Duemeo,Tunggu meterai selanjutnya.
Syobur Fajar,Ah tolol !
Ika Rahayu,Malualuin orang kantor lagi berantem
Ade Irma Suryani,Sapamnya bodoh
Jiencha PupujPuji Kaze R,Materai materai
Djulin,"Semoga hukum tidak buta melihat peristiwa ini... perempuan telah dianiaya,"
Kip Lee,Maklum ..
Risky Ainur Yahya,Pasti pasien bpjs.  Pelayannanya nol
Saadin,Tangkap !!!
Aan Afiudin,Perasaan rumah sakit punya scurity ya
Zain Arif Campreto,.
Budi Ono,Polisi itu katanya y
Denny Kodox,tempramental..
Fauzy Bilqis Al Azhar,Ngaku2 polisi lagi
Pa'Ester Tinambunan,Manusia biadab
Panjoel Soak,P
Dzaki Al'fathah,Satpam penakut di piara..
Reck Kondra,"Anjing nih orang, kalau kamu polisi berharap kamu di pecat"
Neldy Dominggos,Satpam nya penakut tolloolll pecat satpam katro
Zhoan Kae,Up
Yan Micko Bartion Part II,Up
Yan Micko Bartion Part II,Up
Yan Micko Bartion Part II,Tangkap ..
Yan Micko Bartion Part II,Up
Hari Santosa,Mat
Enkzell Bz,Security nya OOooon
Junior,Penjara menanti mu
Santibr Simanjuntak Sa,
Sam's,Scurity mana security
Alamsyahcepper,"Lapor kn,tdk punya etiak Luh"
Iskandar,"Jagan mau di ajak Damai sama pelaku, Tempuh jalur Hukum"
Fawzhan Ozhy,paling ujung2nya minta maaf...
Jokowahyono,Security malah nanton
Adjad Bo,Proses hukum lebih bagus
Moekhliez Ragiel Poetra,Viralkan
Eko Rini,"# Lain kali kl bapak ini n keluarganya sakit...jangan bawa ke rumah sakit...tusuk sendiri aza pak,beli infus n obat di apotik.PERAWAT JUGA MANUSIA.#"
Ida Nur Momy Niko,Laporin aja kepolisi orang kaya bgtu.. Itu manusia apa setan ya
Pelita Warna,Endinge mediasi
Okta Dwi Setiawan Tata,Brani smo cewek...banci itu orang.
Qiqi Anisyah,Security nya diem aja . Gimana
Efni,Visummmmm
Dwi Sumarwan Sumarwan,Ko dia bilang sia polisi ya
Ibnu Sutowo Lks,Miris.
Nanda Bayu,NARASINYA SALAH
Heppy,Gilaaaa
Tarmu Sugeng,Orang kaya
Rizal Boy,bagus
Muhamad Rudi Anton,Srang  serang
Anjhu Tambss,Makanya layanin lah pasienmu dengan senang hati dan ikhlas karna kamu tu dibayar.
Miftakul Khoirun Anwar,Pak Satpam tolong lah
Tut Van Hoten,Meterai 6000 ne
Samsul,Terciduk mewek nih
تنطوي,Ditunggu klarifikasinya min
Halimah Halimah,Satpamsatpaaaaam
Ay Umayah,
Lukmanul Hakim,"Tolak kluarganya di rumah sakit manaapun, biar tau rasa!!!"
Soni Cahyono,Tangkap...
Raden Bumi Dan Seisinya,Ya Allah semoga anaknya meninggal aminnnnn
Ary Abl,Nanti juga mewek
Nur Aminah Syam,
Maya Pasaka,Nanti di polisi baru jelas
Sultan,Tai anjing anak dajjal...!
Ahmarly Aries,Viralkan...orang seperti tidak bisa diterima dirumah sakit manapun...
Akhmad Dzulfikar Wibisono,Kasian Perawatnya.
Lisda Wilyanti II,
Torro Brown,Jangan kasih damai...Supaya kedepan ada pelajaran untuk orang yg kayak gini...hukum maksimal
Ali Muktar,Semoga pasien baik2 saja dan di sembuhkan dari penyakitnya... Aamiin
P Salu,Tangkap
Hendri Hendri,Jangan di ampuni.... Mendidih
Ocha Nya Adhie,kapookkk...
Gunawan Kong,
Kustianah Kustianah,Up
Jiwa Bumi Rantau,Arogan
R Harun Arasyid R,polisi ihh ngerii
Elrin S,viralkan...biar dimasukan dlm penjara
R Febrian Ach,Hmm
Budi Subhani Novoselic,
Boy'scout Barry's,No comment karna sedang tidak ditempat…
Adhi Nugroho Latief,Pemukulan termasuk tindakan yg kriminal
Robinson Barus,"Polisi pula  ,wau gak berubah"
Robinson Barus,Manusia egois .
Azhari Nasution,P
Frido Ahmad Budian,Mentang mentang plokis ..seeeeh
Musrifah,kasian banget aku liatnya
AL Ali Iskandar,Jgn memaki siapapun karena kita tdk di posisi mereka
Jumsi,Sesuatu itu pasti ada sebab
Xampret Asololey,Up
Ifoel Benz Ifoel,Manusia angkuh...
Erick Wahyu W,Up
Erick Wahyu W,Up
Erick Wahyu W,Up
Erick Wahyu W,Up
Erick Wahyu W,Up
Erick Wahyu W,Up
Erick Wahyu W,Up
Liu Zu Bun,Polisi ternyatah
Muhammad Ramadhan,"coba lwan kopassus brni g,pling jg lo g pnya kontol"
Philemon Liman,Lahh itu ada security diem bae ya
Lingga Terate Sie,Saya jg polisi pak ......pakek ngaku2 polisi lah dia
Erikson Pakpahan,Sdh di tangkap belum
Andi Rifan,Beraninya sama perempuan babi ini!
Wak O N O,Anjengnya itu yg baju merah !!!
Gin Wnt,"Satpam bingung...,,hadeh"
Rohmat Ghozali,Polisi jd bebas
Bayu Aji,Situasi yg berat
Dens Tea,"Nanti juga damai saling memaafkan,,,"
Safar Ziko,Kox sya yg jd emosi ya
Kiplii,Klarifikasi Minta maaf selesai
Teguh N,Ditunggu video clarifikasinya
Antoni Putra Zhakiez,BENER LAPORIN JANGAN SAMPAI ADA KATA DAMAI......
Kusuma Landy,Kasus in aj
Muhammad Ramadhan,Lwan koppassus brani g anjing polisi
FiLsa Aji Prakoso,Up
Soponyono,Arogan ..
Della Delvira,
Ayuusri,
Dani Saputra,bos ya udah gila itu ya
Saefudin Saefudin,Tidak bisa komen ah semoga saja urusannya selesai dengan damai
Mamong Dewe,Polisi kok arogan
Yovie Iskandar,Security nya takut
Joni Sijori,"Jujur saya sebenarnya nggak mau komentar, tapi nggak enak sama yang bikin status. Kan dia nulis status ini udah capek. Ya udah aku komenin aja biarpun Cuma singkat. Tak perlu panjang lebar biar yang baca nggak pusing. Kesel juga kan baca komen terlalu …"
Candy Dey,Seru ya
Imam Hafidz,SECURITY TOLOL BEGO CUMA JAGA PINTU BLOON
Lahabo'o,Menyimak para senior berkomentar
Cuk Baju Kokot,wajar j
Kaesang Bagus Pranadja,up
Kaesang Bagus Pranadja,up
Kaesang Bagus Pranadja,Up
Kaesang Bagus Pranadja,Up
Kaesang Bagus Pranadja,Up
Alfatih Bari,Lg2 arogan
Bayu Budi Haryanto,"Ready materai promo 50% kaka , silahkan di order . Senin harga naik ya"
Sujud Susanto,Dahsyat
Noval Anggara,Waw....
Deny Setiawan,Security-nya Cemen amat itu...gblk
Mas Arif Ilhami,Betulll itu udah betullll itu
Her Her,Indonesia... Indonesiaa...
Sutrisno Doank,"Sabar, bulan puasa"
Wisnu Abdilah,norakk
Dstam Candra,Angkuh sekali and awahai lucknut
Prabu Chipy Guntur Sakety II,UP
Tanaka,jangan d pasang biar mampus
Muhammad Saad,laporkan saja ke polisi
Buddy Wae,Puasa..  Puasa..  !!!
Santoso Teguh,ditunggu konspirasinya
Cind Arofiu,Puasa puasa oyyy
Membo Membo,Berat securitynya...
Ahmad Maulana,
Hery,Sedia Materai 6000...
Nayla Khairunnisa,Ramadhan .....moga semuanya baik baik saja ....
Joko S,JANGAN CUMA MINTA MAAF DN MATERAI .....
Anang Wibowo,Arogan sekali yah...
Neng Lia Amor,Kasian mba perawat ny
Suriadi Bella,Security-nya gak guna
Amil Emha,No materai.. no damai.. proses hukum..
Salam,Tunggu part selanjutnya dong
Ayu,
Omat Ayahnya Faqih,Nunggu berita selanjutnya
Ronal Rhafael Rhafy,Paling materi 6000
Ela,Heuduh inget pak ini bln puasa
Mauliani Titin,Jahat
Kurniawan Septa,Itu securitynya plonga plongo
Abdul Karim,"Arogan pak, berlebihan anda"
KT Awix,Dasar mahluk Arogan
Sibon Bae,Itulohhhh orang2 yg berotak Dangkalllll
Widhi Atmoz,Penjara kan
KT Awix,Keterlaluan
Zhi Ahmad Zabadi,Ya Allah beb  kamu jgn sampai begitu yaa
Ki Moustopo,itu petugas kemanannya malah diem bae..
Slam Marvin,Bodo amat
Selamet Riyono,Up
Pak'e Fiki,Sok hebat
Paijin,Up
Paijin,Up
Paijin,P
Paijin,Up
Arifin Zi,
Paijin,Up
Paijin,Up
Bang Pandy,Scurity
Ishaq Maulana Al Kahfi,Laporin aja biar tau yg salah
Mukhlis Dt Hitam,Manusia sombong ..laporkan mbak jangan mau damai...mentang2 polisi ....kurang ajiar.
Wahyu Brebes,Securtynya ngapain pea
Ridwan,Laporkan tindakan penganiayaan. .
Azka Jaya,Viral kan aja
Hermansyah Al Farizi,"Waduh Arogan sekali sibapak,!"
Wiiand Wiiand,I
BurHam AnDreaz,Up
Risma MaRlina,Mungkin ada sebab nya hingga sperti itu ..
Likex Ahmad,Gue Polisi ?
Syarif Naba,Jngan datang ke rumah sakit klau tdk mau lihat darah.......
Rino Oki,Satpamnya lulusan mana itu
Sazlina Mdsalleh,Kurang ajarr
Galih Trianggara,AROGAN
Devana Humaedi,Masukan penjara.. JNgn kasih damai..
Danz Danil,Te elling jelma th
Mas'ud Khamsanie,Sekuriti nya diem baeeee
Taufik Bin Latief,security diem aja
Adiyanto,Sapamnya cement..
Eko,Up sampai disanksi
Dina,Up
Dina,Up
Heri Andry,Ntr jg klarifikasi minta maaf
Abdul Wahid,Klarifikasi
Dheo Kumala Wongso,Mudah2an di pecat
Dheo Kumala Wongso,Up
Safrel Kana Loem,Polisi begok x
Antiq Poenya,Up
Antiq Poenya,Up
Antiq Poenya,Up
Andika Prayuwana,
Permen Komix,MAAF
Ignas,Semoga YANG NGAKU POLISI itu lekas  diterima disisi Tuhan . AMIIIIIN
Ismoyo Haryadi,BAGUSSS....
Om Davit,Arogan..kandangin.!!
Hermawan Iwans,Laporkan
Fahmi,Ohh anggota
Johnkiss,Satpam
Ade Aris Setiawan,Mantap
Krismas Romulo Pakpahan,Security diam saja
Sapta,Satpamnya cmn nonton
Ahmad Agus Riyadi,Up
Ahmad Agus Riyadi,Up
Meilia Susan,Adeuhh
Bhakti,Ngaku pulisi?? Perilaku begitu ke perempuan?? Dasar Psikopat
Fa'cal Jr,Mari kita ramaikan
Ahmad Fahli Monek,oh jd kalo polisi semau nya ya
Dedy Yulianto,Slmt berbuka puasa
Mas Ilham,Umbulke
Yunita Rumondor,"Sakit jiwa,jgan sampai cuma materai"
Dziko Kholid,Sekuriti tolol diem doang
Wahyu Scl Singosari,Gue polisi
D̶̲͉̋̒̈́̉̄͑͗̀̏̏ͅę̵̯̦̩̟̤͉̳̜̌̾d̶̡̛̛̛̛͈̼̱̼̟̹͈́̂̅́́͠i̶̧̧̺̥̺̪̙̱̪̰̎̈̄ ̷̮̭͕̱͇͓̭͇͈͈͐͊̌̂̂͐͂̉̿͠O̶͉̐͊̏́k̷̢̿̾͊͝ţ̷̲̔a̸̢̯̮̬̤͔͉̰͒́ H̶̨͔̫̪̘͎͍̣̓̃̐͋̌͝͠͠ȩ̸̻̺̳͈̞̱̹͍̃̐͛͛̋̽̔ͅr̵͉̳͍̠̘̱̈̅̒̏͛̃̅̚͜ͅm̵̡͎͇̤̰̺̬͒̍͗̾̿͘̕a̵̞̳͆͂̇͌ẁ̸͎͝ẳ̸̹̲̹͍̪̈́̐̇͝ͅn̵͙̻̦̯͕̹͎̪̖̉͐̔͊͜,Waw
Wanly Franciscus Bakkara,Ditunggu kelanjutannya
Findriatno,Sedih
Habib Ali Wardaya,Tengil gaya lo..so aparat tai lo
Faksi Satrianayudha,Satpam nya diem aja haduh
Angga Jak Lah,up
Wanly Franciscus Bakkara,Up
Paruhum Dominicus,Paling2 materai solusinya. Wkkwwkk
Yongki Septa Dørkṩscreamoe,Tindak lanjuti secara UUD
Dadan,Up
Aziz Abdul Ngashim,Gw polusi
Denz Rangga,"sok jago, ANJIM"
Ari,Guwe pramuka
Nikolay Buyunk Petrenko,Satpamnya planga plongo doang ..
Fitra Syafitra,Sombong amat
Yogi Haryanji,Astagfiraullah
Fendi Pradana,Mentang2
Iqbal Zulfikar,"""gua polisi"""
Aulia Lia Bebwhitec,"Kurang ajar,, sakit hari klo liat yg bgni beraninya sama perempuan,, semoga d hukum yg setimpal"
Silvia Aprianti,Kayana takut kasur merobot
Maymay,Waktu lahiran ge gtu eh kmrn jln2 TK naik bis nyelendot Bae ibu2 bngung ya nempel Bae kaya pacaran mgkn ada yg heran atau risih
Lasmana Sari Las,"Uing gs aya 6 kali mutr mh cn bosen,,"
Fajar Tri Mira,Pernh lg hamil gede kena muntaber dan paksu blg mf yaa bersihin sndr g thn sy sama muntah dll(baiklah)
Fazriah Jamilah,Sayaaang teh Niya.. insyaa Allah ada bayaran yg mahal untukmu
Ummu Fathiya,duh...prnh merasakan diposisi ituh
Istighfara DahLya Islammadina,"Kakk Nia ,, aku baca nya Nangiiiissssssss .."
Rita Meidasari,"Itulah wanita....ketika keadaan mengharuskan ia harus ""kuat"". Ngga ada yg namanya manja2, menye2, coz everything she must do it...!!! (Ehh bener ngga yaa englishnya)."
Pramesti Octria,Aaaaaaa sukaaaa bacanyaaaaa.....relate banget. Sampe lupa manja2 krn terbiasa hidup keras
Ummu Hani,Ijin copas ya teh..
Tri Handayani,speechless.... panjenengan terbukti strong mak
Nur Meisa Lestari,"Masyaallah jadi mewek inihhmakasih teh buat tulisan nya, semangatttt buat aq sendiri"
Hidayati,
Imelda Ita,Teteh izin share ya
Alvi Mikhaeyla,Masyaallah teteh....
Alya Fujia Ningsih,Sehat selalu dear
Rierienz,
Murni Sulistiyowati,Masyaallah status anti byk bener nya ijin share ya umm buat save nasehat tsb.. Barakallahufikkum
Silvia Rani Niadjo,
Yeni Kamil,
Mullyanah,Uuch putri
Neng Lilah,Lahiran nya normal apa SC Ivi?
Aprissa Tirta,Masyaallah pengen ngerasain juga
Sri Puspita,Surga dibawah telapak kaki ibu
Rival Seno Aji,Selamat semogaa semangat menjadi seorang ibu
Endah Yulianti,"aaa gemes banget si, adik kecilku ponakan kecilkuuu udah punya Dede utun"
Airin Aprillia,"Ya allah mba saya lgi hamil 4 bulan minta sm dkter di kasih sperti di gmbar..pantesan kertas yg suka di dalam kotak ngga ada biasa nya kn ada,,saya udh Ngomsumsi udah 3 hari tpi memang ngga ada perubahan"
Mamay,Mnding priksa k bidan lngsung kalo hamil
김앙가,"Waduhh ,"
Dody Lumban Tobing,
Rumenta Manalu Manalu,Tuhan Yesus Ajaib dan luar biasa
Novelina,Amin.mujijat itu nyata
Veranye Sembiring,"Baik Tuhan itu, sekiranya Tuhan terus melwat dan menyembuhkan ibuk turnip."
Yaman Zega,Amen...Amen...terpujilah Tuhan Yesus yg memberi kehidupan dan kesembuhan bagi ibu turnip
Korma Sihotang,Amin.. Tuhan Yesus ajaib
Ervan Silalahi,"Dasyat Tuhan kita,sungguh heran perbuatannya tidak bisa kita Selami,tetap semangat dan percaya firmanNya"
Dewi Sianturi,Yesus ajaib Tuhanku ajaib....semakin dipulihkn Tuhan kesehatan ibu turnip
Martha Sulung,Haleluya..SKI.
Navishyaa Lanmorcy Nagunmola,Indahnya  …….
Navishyaa Lanmorcy Nagunmola,Haleluya sgala kemuliaan hanya bagi Nya amen  sehat slalu nntulang
Merry Lumbangaol,Tuhan Yesus memberkati
Sholihatun Riyanah Arisalinu,Daerah mana
Yana,lokasi mna mbk
Ade Rani,maaf mba lokasi dmn
Vivian Lopez,Kranggan Jatisampurna Bekasi
Fajri Putri,Bisa PP gx
Lisa Bovin,Lokasi mana
Harrold Dietrich,DICARI
Rozi Pardede,
Rohana Dosmaria Siagian,
Sondang Rosinta Pasaribu,mantap bou..Aturan gratis pun itu Bou...apalagi udah bou Post foto bou makan disna..
Laura Harahap,Sehat selalu ya Bou na
Cucu Kayla,Bagi2 lah bou cantik
